통계표,계정항목,단위,가중치,변환,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06,2025/07,2025/08,2025/09,2025/10,2025/11,2025/12
"4.2.1. 소비자물가지수","총지수","2020=100","1000","원자료","104.85","105.42","106.1","106.83","107.5","108.21","108.73","108.63","108.82","109.16","109.07","109.26","110.07","110.33","110.52","110.77","111.13","111.16","111.29","112.28","112.85","113.27","112.68","112.73","113.17","113.78","113.95","114.01","114.1","113.84","114.13","114.54","114.65","114.69","114.4","114.91","115.71","116.08","116.29","116.38","116.27","116.31","116.52","116.45","117.06","117.42","117.2","117.57"
"4.2.1. 소비자물가지수","  식료품 및 비주류음료","2020=100","142","원자료","109.34","109.63","109.55","110.29","111.35","111.32","112.99","114.56","116.06","114.72","112.46","113.53","115.37","115.91","116.46","115.9","115.99","116.3","117.3","120.53","122.46","122.85","119.8","120.56","122.2","123.96","124.22","122.75","121.9","120.68","121.54","122.99","124.72","124.53","121.32","123.61","125.13","126.45","127.26","126.48","124.78","124.74","125.75","128.96","128.82","128.88","127.08","128.01"
"4.2.1. 소비자물가지수","    식료품","2020=100","132.3","원자료","109.63","109.8","109.72","110.38","111.55","111.47","113.32","115.04","116.57","115.1","112.66","113.71","115.46","115.82","116.3","115.68","115.84","116.06","117.13","120.68","122.71","123.09","119.81","120.65","122.38","124.3","124.72","123.06","122.1","120.91","121.57","123.16","125.05","124.74","121.24","123.52","125.02","126.51","127.28","126.44","124.7","124.48","125.46","128.94","128.83","128.79","126.84","127.84"
"4.2.1. 소비자물가지수","      빵 및 곡물","2020=100","22.3","원자료","107.38","107.86","109.92","109.77","109.81","109.66","110.54","111.04","110.99","112.89","114.12","114.27","114.1","116.27","116.19","116.69","116.72","116.79","116.67","117.83","118.67","120.14","119.6","119.52","119.36","118.98","118.86","117.96","118.59","118.72","118.53","118.27","117.88","119.01","119.44","121.15","121.33","122.29","123.16","124.31","124.5","125.42","126.4","126.92","127.88","129.46","129.41","129.22"
"4.2.1. 소비자물가지수","        쌀","2020=100","4.2","원자료","103.98","102.93","101.94","99.94","98.25","96.75","95.2","92.73","90.22","91.04","96.21","95.79","94.27","94.6","93.99","93.43","94.04","94.34","95.56","100.05","103.44","108.58","106.41","105.79","104.96","103.26","101.24","97.65","100.38","100.55","100.35","98.78","98.35","99.18","99.88","99.38","98.77","99.88","100.89","102.05","102.76","104.69","107.93","109.69","113.98","120.31","118.42","117.5"
"4.2.1. 소비자물가지수","        현미","2020=100","0.4","원자료","107.3","106.56","105.35","105.26","104.02","102.96","102.32","101.37","101.76","101.05","100.45","98.87","98.32","97.68","96.17","96.16","96.02","96.07","96.46","96.93","97.68","98.85","99.94","100.36","101.98","102.45","102.77","102.67","103.55","103.42","103.55","104.15","104.13","104","105.28","108.51","110.31","112.22","115.14","117.94","118.8","120.86","127.22","129.39","131.81","133.99","132.44","130.29"
"4.2.1. 소비자물가지수","        찹쌀","2020=100","0.5","원자료","104.86","103.77","101.65","100.85","99.78","98.72","97.47","95.65","96.96","96.83","95.79","94.73","92.62","93.53","93.34","93.32","93","93.1","91.58","92.11","94.5","95.77","97.66","98.81","99.6","99.46","100.75","100.62","101.77","100.91","99.96","99.67","101.39","101.34","104.69","111.3","115.73","118.11","122.83","127.56","128.47","134.26","141.9","145.12","148.16","147.41","140.52","135.87"
"4.2.1. 소비자물가지수","        보리쌀","2020=100","0.2","원자료","101.82","101.54","102.49","103.15","103.03","103.56","106.59","108.84","109.5","110.08","111.03","110.74","111.66","112.04","113.04","113.58","113.7","113.92","114.95","116.55","116.97","118.03","118.23","118.36","118.8","118.72","120","121.66","122.24","123.49","130.62","137.6","142.69","143.84","149.16","158.42","162.71","166.69","170.12","174.8","176.72","178.22","184.96","190.76","194.95","197.52","198.51","198.34"
"4.2.1. 소비자물가지수","        콩","2020=100","0.5","원자료","111.21","107.37","106.74","105.09","104.37","103.59","102.98","102.95","102.45","102.67","101.95","100.18","99.32","97.8","98.08","98.42","98.19","98.26","97.84","98.17","99.71","101.29","101.92","102.5","101.76","103.88","103.37","103.21","103.93","104.08","104.55","105.69","105.67","105.71","105.82","106.63","106.68","106.89","107.57","107.83","106.93","106.96","108.06","108.54","108.23","108.91","108.63","107.31"
"4.2.1. 소비자물가지수","        땅콩","2020=100","0.1","원자료","104.21","105.4","105.95","106.17","107.06","106.68","107.09","106.29","106.4","106.02","106.45","106.83","107.18","107.35","107.98","108.1","108.99","108.7","109.45","109.55","109.82","110.79","113.04","114.58","113.96","114.36","115.76","116.61","117.05","118.14","117.94","118.23","118.22","118.68","119.54","120.44","120.92","121.67","121.58","121.27","122.16","122.38","122.46","122.73","122.81","122.33","121.1","120.71"
"4.2.1. 소비자물가지수","        혼식곡","2020=100","0.4","원자료","105.64","104.71","103.58","104.71","104.32","104.35","103.83","103.74","104.18","104.05","105.46","104.29","103.46","104.85","106.85","106.69","106.33","106.15","107.35","107.94","106.71","108.03","108.29","108.49","108.58","108.74","109.18","109.41","109.23","109.85","109.25","109.92","109.92","110.99","111.28","111.97","113.83","116.47","117.77","118.75","118.72","120.2","120.25","119.66","119.67","120.19","120.9","120.21"
"4.2.1. 소비자물가지수","        밀가루","2020=100","0.1","원자료","111.13","112.65","115.93","116.72","126.7","137.07","138.18","136.26","138.36","136.97","137.79","138.17","135.2","137.88","138.73","139.02","139.29","139.11","139.06","138.59","137.78","136.67","137.7","137.59","132.9","136.54","137.36","135.93","136.65","136.61","135.55","136","132.49","135.41","137.87","137.43","134.59","135.15","135.44","136.04","134.87","135.38","135.71","135.68","136.12","135.33","135.57","137.85"
"4.2.1. 소비자물가지수","        국수","2020=100","0.7","원자료","131.76","132.61","136.09","137.77","140.07","139.83","143.9","149.5","155.48","157.35","156.75","158.75","158.69","158.66","158.33","156.57","148.92","147.81","152.34","151.95","150.54","154.3","157.63","154.08","156.96","156.69","156.47","153.96","149.03","147.31","150.93","150.8","150.4","153.69","157.47","159.49","156.99","157.66","153.3","154.19","151.12","148","145.87","146.07","145.65","153.19","153.95","152.66"
"4.2.1. 소비자물가지수","        라면","2020=100","2.4","원자료","110.26","110.62","109.28","109.05","109.12","108.87","110.07","109.96","113.18","123.94","122","122.62","123.39","124.69","122.73","123.84","123.79","123.67","120.87","120.33","121.35","120.69","119.76","118.92","118.06","118.76","118","117.57","117.36","117.45","116.39","116.03","117.97","118.26","119.02","119.17","118.96","119.05","118.65","123.54","124.64","125.6","123.92","123.82","125.5","126.87","127.13","127.55"
"4.2.1. 소비자물가지수","        당면","2020=100","0.2","원자료","114.26","113.98","115.36","114.93","116.07","116.98","116.41","117.38","112.5","116.3","116.12","117.16","117.4","118.26","131.35","132.36","135.68","136.8","134.27","137.17","134.64","135.8","137.04","138.24","137.49","130.28","136.47","135.14","136.42","137.2","137.34","137.93","124.02","135.39","136.77","138.8","135.41","135","134.63","136.48","136.76","136.55","137.72","137","137.9","129.67","135.64","135.57"
"4.2.1. 소비자물가지수","        두부","2020=100","1.2","원자료","106.86","107.46","111.47","112.39","112.59","112.68","111.87","111.49","110.81","111.78","113.01","115.46","118.3","119.57","118.39","118.29","118.17","116.65","117.03","117.38","117.99","119.09","118.26","117.68","118.51","118.36","118.71","118.32","118.09","118.67","117.97","118.6","117.73","117.84","115.68","117.86","116.82","117.12","110.36","110.91","110.98","110.36","111.01","110.16","109.93","110.13","109.36","108.28"
"4.2.1. 소비자물가지수","        시리얼","2020=100","0.4","원자료","100.84","113.79","121.41","116.06","121.21","122.05","111.39","116.03","113.85","122.65","126.27","126.1","124.32","121.33","126","126.55","122.35","125.4","117.65","121.53","123.06","126.26","112.78","120.31","119.28","116.67","120.32","116.85","122.2","125.73","119.71","116.63","110.9","126.17","122.46","126.17","136.8","126.24","131.9","133.32","123.64","140.26","141.95","138.53","118.04","117.08","131.74","143.32"
"4.2.1. 소비자물가지수","        부침가루","2020=100","0.6","원자료","114.25","114.26","117.3","123.98","126.69","129.83","138.27","143.73","138.82","145.59","146.03","147.32","140.41","144.27","139.55","145.89","147.45","148.62","142.96","145.28","140.7","144.06","146.65","146.4","143.5","139.06","144.07","144.45","144.9","143.61","141.31","143.1","128.51","142.56","143.39","145.07","142.36","143.73","145.15","143.95","145.51","143.99","143.63","143.7","144.72","137.16","143.95","143.7"
"4.2.1. 소비자물가지수","        케이크","2020=100","1.6","원자료","105.21","106.95","109.4","109.57","111.52","112.63","112.69","112.74","113.77","113.81","113.88","113.9","116.11","120.14","120.84","122.21","122.21","122.23","123.23","123.29","123.3","123.35","123.36","123.39","124.47","124.5","124.53","124.51","124.51","124.5","124.54","124.57","124.57","126.2","126.44","126.52","128.54","128.61","130.78","130.78","131.57","131.56","131.56","131.59","131.87","131.92","131.93","131.94"
"4.2.1. 소비자물가지수","        빵","2020=100","6.8","원자료","108.05","109.34","115.67","115.92","115.96","116.03","119.66","122.29","122.42","122.84","123.53","123.56","123.59","128.53","128.73","129.57","129.88","129.97","129.99","129.99","130.01","130.01","130.04","130.05","130.1","130.1","130.12","130.18","130.19","130.19","130.21","130.1","130.13","130.13","130.26","134.32","134.32","136.42","138.38","138.45","138.48","138.52","138.55","138.61","138.65","138.68","138.71","138.72"
"4.2.1. 소비자물가지수","        떡","2020=100","1.9","원자료","107.72","108.44","108.48","109.66","110.32","110.63","110.81","111.14","111.85","112.56","112.74","113.49","113.9","115.4","115.88","116.09","116.6","116.74","116.66","117.1","117.47","117.5","117.85","118.58","118.41","118.91","119.9","120.38","120.44","121.08","121.43","121.45","121.63","121.74","121.85","121.93","122.11","122.36","123.35","123.88","124.18","124.4","124.95","125.45","125.81","126.33","127.43","127.9"
"4.2.1. 소비자물가지수","        파스타면","2020=100","0.1","원자료","112.95","113.1","113.76","112.96","114.51","114.75","114.65","113.62","113.19","113.2","113.63","115.88","117.29","118.22","133.29","137.96","137.13","133.61","137.2","135.38","131.47","132.86","135.39","134.03","134","134.16","133.33","133.28","134.42","134.99","133.41","132.6","132.61","132.99","134.52","133.4","132.49","131.89","131.37","133.55","131.48","132.66","131.91","133.55","128.64","133.74","131.56","133.2"
"4.2.1. 소비자물가지수","      육류","2020=100","28.6","원자료","113.72","113.49","111.57","112.81","120.45","120.71","118.81","118.05","119.32","117.98","116.36","116.81","116.3","113.48","112.16","113.53","116.28","117.57","116.23","116.01","118.52","118.65","115.98","116.22","115.42","113.86","113.5","113.32","113.44","116.53","118.09","116.4","118.88","119.87","117.85","118.74","119.72","118.1","117.55","118.69","120.63","121.95","122.19","124.61","124.76","125.69","123.03","124.07"
"4.2.1. 소비자물가지수","        국산쇠고기","2020=100","8.6","원자료","113.11","113.17","111.26","110.49","109.89","108.48","108.84","109.12","111.23","110.92","109.96","108.65","108.72","104.7","103.17","102","101.71","102.48","101.25","102.07","105.17","107.81","106.32","107.04","107.46","105.13","103.5","100.95","99.4","100.2","99.52","99.33","102.74","105.02","104.45","105.92","108.35","107.58","104.52","105.19","104.65","103.48","104.43","105.93","107.64","109.84","109.26","111.13"
"4.2.1. 소비자물가지수","        수입쇠고기","2020=100","3.1","원자료","125.56","129.04","127.3","128.6","131.04","131.47","131.86","129.21","125.12","126.2","124.25","125.68","122.6","124.19","120.29","121.89","122.37","122.86","124.35","120.79","124.92","126.68","128.12","128.38","129.63","130.22","130.96","128.69","128.22","129.81","132.33","130.62","132.42","131.46","131.87","133.96","137.33","137.21","138.23","135.7","135.17","135.68","132.49","133.01","135.36","138.37","140.81","144.65"
"4.2.1. 소비자물가지수","        돼지고기","2020=100","9.8","원자료","114.04","111.53","107.26","109.73","132.09","133.78","126.13","122.29","125.75","122.19","118.18","118.14","116.29","110.88","109.24","113.5","122.38","125.1","121.79","121.51","124.6","122.44","116.03","116.14","113.61","110.79","110.67","113.8","115.96","124.49","128.92","124.9","128.26","128.19","123.59","123.68","123.11","119.26","117.82","121.5","125.73","129.93","132.22","136.64","136.35","135.98","129.94","129.12"
"4.2.1. 소비자물가지수","        닭고기","2020=100","1.5","원자료","113.75","113.91","119.35","124.58","122.41","123.62","126.81","127.49","121.95","120.27","123.23","133.12","134.82","132.8","135.11","139.93","140.66","140.55","139.77","141.01","137.94","136.53","133.29","132.31","129.7","130.47","131.82","130.89","129.7","127.79","129.78","129.73","130.02","129.26","124.72","125.33","128.52","128.95","129.17","131.17","134.48","134.75","132.83","133.94","132.67","130.84","129.77","128.83"
"4.2.1. 소비자물가지수","        소시지","2020=100","2","원자료","104.15","104.07","103.16","103.54","104.08","104.78","105.83","111.96","113.25","113.26","113.75","114.69","114.98","117.11","117.25","117.38","116.53","115.96","115.62","115.08","116.56","115.18","117.24","114.64","114.62","115.38","114.69","115.69","112.23","113.22","112.9","115.85","113.44","115.26","114.72","116.17","113.67","112.54","114.85","114.89","121.23","120.42","119.15","121.97","119.56","120.6","115.03","119.07"
"4.2.1. 소비자물가지수","        햄및베이컨","2020=100","2.7","원자료","107.87","110.6","110.42","111.94","112.94","112.61","114.02","116.15","116.69","115.71","115.8","117.64","119.68","119.16","118.31","116.53","114.39","115.2","115.44","115.01","116.72","116.44","114.34","115.98","114.72","114.87","115.91","113.61","115.91","115.82","114.69","111.66","114.41","116.74","116.12","116.71","117.56","117.23","122.92","121.28","122.64","125.15","122.86","124.3","121.4","124.07","120.64","120.49"
"4.2.1. 소비자물가지수","        기타육류가공품","2020=100","0.9","원자료","103.88","103.27","106.39","108.98","112.85","113.38","116.73","116.41","116.02","116.22","116.84","117.04","119.55","122.15","123.65","126.73","128.77","130.86","132.26","131.63","130.33","131.59","131.88","132.8","134.2","132.66","132.91","133.23","134.17","130.12","132.75","131.59","131.39","133.33","132.4","132.09","132.5","132.71","134.85","135.07","134.51","135.8","133.09","133.36","133.24","127.64","130.84","133.61"
"4.2.1. 소비자물가지수","      어류 및 수산","2020=100","13","원자료","103.07","103.19","103.45","104.67","105.22","105.29","104.11","104.02","105.66","107.18","108.81","110.65","111.34","112.09","111.92","112.44","113","112.81","111.91","111.36","110.86","111.85","112.35","113.28","113.94","113.98","113.45","112.28","112.18","111.89","111.32","111.61","111.61","112.43","113.16","114.86","115.53","116.78","117.55","118.1","118.35","119.88","119.3","119.54","118.89","118.99","120.66","122.27"
"4.2.1. 소비자물가지수","        갈치","2020=100","1.1","원자료","97.08","99.31","100.07","101.58","101.96","101.88","101.27","97.65","98.23","100.82","101.7","101.79","99.56","104.14","103.42","105.42","106.23","104.39","105.89","104.02","98.36","99.07","98.34","98.09","100.19","102.27","104.28","104.36","105.4","107.29","105.63","105.79","104.38","103.12","101.12","103.12","104.52","108.3","110.01","110.63","108.04","110.44","112.22","115.18","108.21","107.7","112.46","115.2"
"4.2.1. 소비자물가지수","        명태","2020=100","0.7","원자료","95.77","95.55","98.17","101.93","104.79","104.88","105.13","105.71","106.98","105.9","105.9","105.94","107.44","105.62","105.04","106.38","107.96","108.37","109.11","108.86","109.05","109.52","109.42","110.16","108.3","107.74","106.77","105.68","106.6","107.61","107.19","108.22","108.6","108.22","108.52","108.85","109.53","109.57","109.82","110.56","109.74","110.99","110.66","107.81","110.8","105.28","110.25","110.2"
